TotalSteps,TotalDistance,Calories,TotalMinutesActive,TotalMinutesAsleep
6543,4.329999924,2666,339,123
7213,5.880000114,2947,263,425
6877,5.579999924,2898,258,400
7860,6.369999886,2984,271,384
6506,5.28000021,2896,265,253
11140,9.029999733,3328,362,382
12692,10.28999996,3394,380,591
9105,7.380000114,3013,243,293
6708,5.440000057,2812,197,457
8793,7.130000114,3061,291,454
6530,5.300000191,2729,189,425
15126,12.27000046,3691,483,465
15050,12.22000027,3538,391,480
9167,7.429999828,3064,291,370
6108,4.949999809,2784,225,421
7047,5.71999979,2908,255,432
9023,7.320000172,3033,255,442
9930,8.050000191,3165,298,433
10144,8.229999542,3115,303,479
9454,7.670000076,3145,313,327
8161,6.619999886,3004,270,412
8614,6.989999771,3006,254,414
6943,5.630000114,2859,224,404
14370,11.64999962,3683,490,520
14370,11.64999962,3683,490,520
8232,6.679999828,2990,265,435
10613,8.609999657,3172,300,416
9810,7.960000038,3069,286,354
2752,2.230000019,1240,68,404
11596,7.570000172,2026,309,441
4832,3.160000086,1718,226,455
17022,11.11999989,2324,358,357
16556,10.85999966,2254,335,377
5771,3.769999981,1831,288,651
655,0.430000007,1397,46,350
3727,2.430000067,1683,206,520
15482,10.10999966,2284,346,357
2713,1.769999981,1570,148,658
12346,8.06000042,2066,266,399
11682,7.630000114,2105,311,322
4112,2.690000057,1776,272,631
1807,1.179999948,1507,104,553
10946,7.190000057,2033,263,433
11886,7.760000229,2093,296,412
10538,6.880000114,1922,238,347
11393,7.630000114,1999,227,421
12764,8.329999924,2169,331,450
1202,0.779999971,1463,84,775
5164,3.369999886,1747,237,622
9769,6.380000114,1996,259,409
12848,8.390000343,2116,302,380
4249,2.769999981,1698,224,447
14331,9.510000229,2156,314,419
9632,6.289999962,1916,259,400
1868,1.220000029,1494,96,442
6083,4,1762,221,568
11611,7.579999924,2272,332,453
16358,10.71000004,2335,366,418
4926,3.220000029,1693,195,463
3121,2.039999962,741,62,438
8135,6.079999924,3405,242,419
5077,3.789999962,2551,170,432
8596,6.420000076,4022,324,477
12087,9.079999924,4005,368,392
14269,10.65999985,4274,398,406
12231,9.140000343,4552,396,549
9893,7.389999866,3625,276,527
12574,9.420000076,3501,242,449
8330,6.21999979,3192,216,447
10830,8.090000153,4018,359,414
9172,6.849999905,3329,292,338
7638,5.710000038,3152,271,384
15764,11.77999973,4392,416,543
6393,4.78000021,3374,313,421
5325,3.980000019,3088,251,354
6805,5.139999866,3294,269,424
9841,7.429999828,3580,291,361
7924,5.920000076,3544,298,459
12363,9.239999771,4501,415,412
13368,9.989999771,4546,444,379
7439,5.559999943,3014,292,525
11045,8.25,3795,317,508
5206,3.890000105,2755,175,603
7550,5.639999866,3004,209,74
8869,6.650000095,3841,335,504
4038,3.039999962,1665,123,431
14450,10.90999985,2828,540,380
7150,5.400000095,2225,312,336
5153,3.910000086,2018,241,493
11135,8.409999847,2606,480,465
10449,8.020000458,2536,385,474
19542,15.01000023,4900,324,508
8206,6.199999809,2409,402,480
11495,8.680000305,2651,512,492
7623,5.760000229,2305,362,353
9411,7.110000134,2576,458,542
3403,2.599999905,1879,141,393
9592,7.239999771,2560,461,600
8915,6.730000019,2361,397,507
9799,7.400000095,2636,487,392
3365,2.680000067,1838,133,658
7336,5.539999962,2469,412,498
7328,5.53000021,2250,318,555
4477,3.380000114,1248,197,492
4053,2.910000086,2400,120,235
5162,3.700000048,2507,143,423
1282,0.920000017,2127,58,391
10199,6.739999771,1994,253,366
5652,3.74000001,1718,174,630
1551,1.029999971,1466,86,508
5563,3.680000067,1756,217,370
13217,8.739999771,2173,333,357
10145,6.710000038,2027,313,427
11404,7.539999962,2039,293,442
10742,7.099999905,2046,271,476
13928,9.550000191,2174,349,418
11835,9.710000038,2179,294,451
10725,7.090000153,2086,303,425
20031,13.23999977,2571,446,528
5029,3.319999933,1705,199,511
13239,9.270000458,2194,348,400
10433,6.900000095,2012,297,441
10320,6.820000172,2034,324,455
12627,8.350000381,2182,334,440
10762,7.110000134,2254,396,433
10081,6.659999847,2002,285,422
5454,3.609999895,1740,215,411
12912,8.539999962,2162,370,466
12109,8.119999886,2072,324,394
10147,6.710000038,2086,335,442
10524,6.960000038,2066,341,467
5908,3.910000086,1850,299,443
6815,4.5,1947,328,298
4188,2.769999981,1659,165,541
12342,8.720000267,2105,295,489
15448,10.21000004,2361,371,469
6722,4.440000057,1855,230,452
3587,2.369999886,928,113,516
4631,3.099999905,2076,203,79
5600,3.75,2225,237,58
11317,8.409999847,2772,218,514
5813,3.619999886,2516,212,451
9123,6.119999886,2734,256,472
8585,5.670000076,2395,190,377
10688,7.289999962,2944,260,472
14365,10.64000034,2997,245,492
9469,6.179999828,2463,231,390
9753,6.53000021,2846,270,428
3520,2.160000086,2049,125,681
10091,6.820000172,2752,237,446
10387,7.070000172,2781,235,485
11107,8.340000153,2693,206,469
11584,7.800000191,2862,263,354
14560,9.409999847,2995,367,485
12390,8.069999695,2730,303,388
10052,6.809999943,2754,231,440
10288,6.760000229,2754,245,456
10988,8.31000042,2655,192,420
12461,8.380000114,2924,273,322
12827,8.479999542,2739,271,530
10677,7.099999905,2534,206,481
13566,9.109999657,2960,288,427
9572,6.519999981,2735,225,451
3789,2.559999943,1199,67,444
15108,12.18999958,3043,252,486
22359,17.19000053,3554,362,331
